pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
AA,3636321029,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,38080,5
AA,3636321029,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,38080,20
AA,3636321029,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,38080,20
AA,3636321029,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,38080,20
AA,3636321029,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,38080,20
AA,3636321029,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,38080,25
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,0,filler,F1,80,11,F2,110,10,F3,300,16,2,F3,300,16,9464,47544,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,1,d1,A,100,17,B,200,20,D,100,12,1,B,200,20,26921,74768,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,2,d3,B,200,20,D,160,24.5,A,100,17,0,B,200,20,4800,79870,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,3,d2,A,100,17,B,200,20,D,130,14,2,D,130,14,8349,88523,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,4,d5,A,100,17,D,210,26.5,B,200,20,2,B,200,20,3486,92311,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,5,d4,A,100,17,B,200,20,D,130,22.5,1,B,200,20,17316,109929,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,6,baseline,A,100,17,B,200,20,,,,1,B,200,20,2515,112746,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,7,d5,B,200,20,A,100,17,D,210,26.5,0,B,200,20,10005,123054,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,8,d5,B,200,20,A,100,17,D,210,26.5,0,B,200,20,2749,126105,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,9,d1,B,200,20,A,100,17,D,100,12,2,D,100,12,3944,130351,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,10,d4,D,130,22.5,B,200,20,A,100,17,1,B,200,20,4699,135353,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,11,d5,B,200,20,A,100,17,D,210,26.5,0,B,200,20,2382,138037,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,12,d3,A,100,17,D,160,24.5,B,200,20,2,B,200,20,6800,145139,
AA,3636321029,task-v2.3-FROZEN (2026-08-25),choice,13,filler,F1,80,10,F3,175,12,F2,100,13,2,F2,100,13,7021,152462,
