pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
AS,874994842,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,23631,10
AS,874994842,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,23631,12
AS,874994842,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,23631,14
AS,874994842,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,23631,16
AS,874994842,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,23631,18
AS,874994842,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,23631,20
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,0,d4,D,130,22.5,A,100,17,B,200,20,2,B,200,20,5484,29116,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,1,d6,D,30,18,B,200,20,A,100,17,1,B,200,20,3163,32581,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,2,d3,D,160,24.5,B,200,20,A,100,17,1,B,200,20,8699,41582,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,3,d5,A,100,17,B,200,20,D,210,26.5,1,B,200,20,7598,49482,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,4,d6,A,100,17,B,200,20,D,30,18,1,B,200,20,4412,54197,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,5,catch,junk1,40,24,junk2,25,19,best,150,9,2,best,150,9,9864,64365,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,6,catch,junk2,30,25,junk1,20,22,best,100,8,2,best,100,8,6297,70964,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,7,d1,A,100,17,D,100,12,B,200,20,2,B,200,20,6898,78164,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,8,baseline,A,100,17,B,200,20,,,,1,B,200,20,2231,80697,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,9,d1,D,100,12,A,100,17,B,200,20,2,B,200,20,2881,83880,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,10,filler,F3,175,12,F1,60,7.95,F2,110,10,0,F3,175,12,4530,88714,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,11,d5,A,100,17,D,210,26.5,B,200,20,2,B,200,20,3330,92348,
AS,874994842,task-v2.3-FROZEN (2026-08-25),choice,12,d3,D,160,24.5,A,100,17,B,200,20,2,B,200,20,3797,96447,
