pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
EH,1288884925,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,9535,10
EH,1288884925,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,9535,15
EH,1288884925,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,9535,20
EH,1288884925,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,9535,22
EH,1288884925,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,9535,25
EH,1288884925,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,9535,25
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,0,d6,D,30,18,A,100,17,B,200,20,1,A,100,17,1957,11493,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,1,d3,A,100,17,D,160,24.5,B,200,20,0,A,100,17,1587,13384,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,2,d4,D,130,22.5,A,100,17,B,200,20,1,A,100,17,1469,15156,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,3,baseline,A,100,17,B,200,20,,,,0,A,100,17,935,16396,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,4,d6,B,200,20,A,100,17,D,30,18,1,A,100,17,1924,18624,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,5,d5,B,200,20,D,210,26.5,A,100,17,2,A,100,17,1387,20315,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,6,d6,A,100,17,B,200,20,D,30,18,0,A,100,17,2118,22738,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,7,d3,A,100,17,D,160,24.5,B,200,20,0,A,100,17,1613,24656,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,8,d1,D,100,12,A,100,17,B,200,20,0,D,100,12,1656,26617,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,9,d2,A,100,17,B,200,20,D,130,14,2,D,130,14,2197,29119,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,10,baseline,A,100,17,B,200,20,,,,0,A,100,17,924,30347,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,11,baseline,A,100,17,B,200,20,,,,0,A,100,17,788,31438,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,12,filler,F3,210,17,F1,70,12.9,F2,60,8,2,F2,60,8,4066,35807,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,13,d6,B,200,20,D,30,18,A,100,17,2,A,100,17,1647,37759,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,14,d4,A,100,17,D,130,22.5,B,200,20,0,A,100,17,1683,39747,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,15,baseline,A,100,17,B,200,20,,,,0,A,100,17,1050,41101,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,16,d4,B,200,20,D,130,22.5,A,100,17,2,A,100,17,2272,43677,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,17,baseline,B,200,20,A,100,17,,,,1,A,100,17,1034,45015,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,18,filler,F2,150,15,F1,250,15,F3,200,14,2,F3,200,14,5842,51161,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,19,d3,D,160,24.5,B,200,20,A,100,17,2,A,100,17,3344,54808,
EH,1288884925,task-v2.3-FROZEN (2026-08-25),choice,20,filler,F3,210,17,F2,120,12,F1,100,13,1,F2,120,12,3658,58768,
