pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
IS,2942824432,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,122964,5
IS,2942824432,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,122964,10
IS,2942824432,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,122964,30
IS,2942824432,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,122964,40
IS,2942824432,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,122964,45
IS,2942824432,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,122964,45
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,0,d5,A,100,17,D,210,26.5,B,200,20,0,A,100,17,9563,132530,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,1,filler,F1,50,7.95,F3,100,14.9,F2,120,12,2,F2,120,12,6910,139746,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,2,d4,A,100,17,B,200,20,D,130,22.5,1,B,200,20,7677,147730,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,3,baseline,B,200,20,A,100,17,,,,0,B,200,20,4349,152380,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,4,d1,B,200,20,A,100,17,D,100,12,2,D,100,12,8730,161413,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,5,filler,F3,40,7,F1,80,10,F2,100,14.9,2,F2,100,14.9,4760,166479,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,6,d3,D,160,24.5,A,100,17,B,200,20,1,A,100,17,4911,171696,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,7,d2,A,100,17,B,200,20,D,130,14,2,D,130,14,4827,176829,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,8,d3,B,200,20,A,100,17,D,160,24.5,0,B,200,20,10045,187180,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,9,d1,D,100,12,B,200,20,A,100,17,0,D,100,12,4660,192146,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,10,d3,A,100,17,B,200,20,D,160,24.5,1,B,200,20,6309,198762,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,11,baseline,A,100,17,B,200,20,,,,1,B,200,20,2543,201612,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,12,d2,B,200,20,A,100,17,D,130,14,2,D,130,14,3928,205846,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,13,baseline,A,100,17,B,200,20,,,,1,B,200,20,3329,209480,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,14,filler,F2,30,7,F1,40,10,F3,150,12,2,F3,150,12,8945,218728,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,15,d1,B,200,20,A,100,17,D,100,12,2,D,100,12,4565,223595,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,16,baseline,A,100,17,B,200,20,,,,1,B,200,20,2712,226613,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,17,d4,B,200,20,A,100,17,D,130,22.5,0,B,200,20,4693,231612,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,18,baseline,B,200,20,A,100,17,,,,0,B,200,20,2283,234196,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,19,d6,B,200,20,A,100,17,D,30,18,0,B,200,20,6894,241395,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,20,d3,D,160,24.5,A,100,17,B,200,20,2,B,200,20,5263,246962,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,21,d4,A,100,17,D,130,22.5,B,200,20,2,B,200,20,37261,284528,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,22,d5,B,200,20,A,100,17,D,210,26.5,0,B,200,20,4829,289662,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,23,d6,B,200,20,A,100,17,D,30,18,0,B,200,20,2765,292728,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,24,catch,junk2,30,25,junk1,20,22,best,100,8,2,best,100,8,7527,300561,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,25,d5,A,100,17,D,210,26.5,B,200,20,2,B,200,20,3379,304245,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,26,baseline,A,100,17,B,200,20,,,,1,B,200,20,1910,306461,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,27,d6,D,30,18,A,100,17,B,200,20,2,B,200,20,3926,310694,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,28,filler,F3,150,15,F1,100,9.95,F2,30,7,0,F3,150,15,10830,321827,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,29,baseline,B,200,20,A,100,17,,,,0,B,200,20,2061,324194,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,30,baseline,B,200,20,A,100,17,,,,0,B,200,20,1181,325678,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,31,d2,A,100,17,D,130,14,B,200,20,1,D,130,14,5313,331295,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,32,catch,best,150,9,junk1,40,24,junk2,25,19,0,best,150,9,3512,335112,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,33,d3,A,100,17,D,160,24.5,B,200,20,2,B,200,20,3628,339043,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,34,d4,B,200,20,A,100,17,D,130,22.5,0,B,200,20,8895,348244,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,35,d1,D,100,12,B,200,20,A,100,17,0,D,100,12,20162,368710,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,36,d6,D,30,18,B,200,20,A,100,17,1,B,200,20,4878,373894,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,37,d2,D,130,14,A,100,17,B,200,20,0,D,130,14,7927,382127,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,38,d4,B,200,20,D,130,22.5,A,100,17,0,B,200,20,3181,385610,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,39,d1,A,100,17,B,200,20,D,100,12,1,B,200,20,11178,397094,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,40,d5,D,210,26.5,A,100,17,B,200,20,2,B,200,20,4661,402060,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,41,d5,A,100,17,D,210,26.5,B,200,20,2,B,200,20,10878,413244,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,42,d6,A,100,17,B,200,20,D,30,18,1,B,200,20,3026,416576,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),choice,43,d2,A,100,17,D,130,14,B,200,20,2,B,200,20,4596,421477,
IS,2942824432,task-v2.3-FROZEN (2026-08-25),probe,-2,probe,,,,,,,,,,,,,,,429844,no
