pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
LL,3201574810,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,11377,5
LL,3201574810,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,11378,10
LL,3201574810,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,11378,10
LL,3201574810,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,11378,15
LL,3201574810,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,11378,15
LL,3201574810,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,11378,15
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,0,d6,A,100,17,D,30,18,B,200,20,0,A,100,17,3071,14457,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,1,baseline,A,100,17,B,200,20,,,,0,A,100,17,1879,16642,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,2,filler,F2,80,11,F3,60,7.95,F1,40,10,1,F3,60,7.95,4791,21738,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,3,baseline,B,200,20,A,100,17,,,,1,A,100,17,1540,23581,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,4,baseline,B,200,20,A,100,17,,,,1,A,100,17,1242,25133,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,5,d2,B,200,20,D,130,14,A,100,17,1,D,130,14,4932,30369,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,6,d4,D,130,22.5,A,100,17,B,200,20,1,A,100,17,2425,33100,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,7,baseline,B,200,20,A,100,17,,,,1,A,100,17,1099,34505,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,8,d2,A,100,17,B,200,20,D,130,14,2,D,130,14,3357,38167,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,9,d3,B,200,20,D,160,24.5,A,100,17,2,A,100,17,2778,41254,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,10,d1,D,100,12,A,100,17,B,200,20,0,D,100,12,2401,43966,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,11,d5,A,100,17,D,210,26.5,B,200,20,0,A,100,17,3521,47789,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,12,d6,B,200,20,D,30,18,A,100,17,2,A,100,17,3050,51143,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,13,d6,B,200,20,A,100,17,D,30,18,1,A,100,17,8240,59687,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,14,baseline,B,200,20,A,100,17,,,,1,A,100,17,1270,61261,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,15,d6,B,200,20,A,100,17,D,30,18,1,A,100,17,3874,65441,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,16,d5,B,200,20,D,210,26.5,A,100,17,2,A,100,17,1964,67710,
LL,3201574810,task-v2.3-FROZEN (2026-08-25),choice,17,d4,A,100,17,B,200,20,D,130,22.5,0,A,100,17,4029,72046,
