pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
LR,376631671,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,28467,8
LR,376631671,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,28467,9
LR,376631671,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,28467,12
LR,376631671,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,28467,15
LR,376631671,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,28467,20
LR,376631671,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,28467,23
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,0,d3,D,160,24.5,B,200,20,A,100,17,1,B,200,20,4414,32881,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,1,baseline,A,100,17,B,200,20,,,,0,A,100,17,2531,35715,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,2,catch,junk1,20,22,junk2,30,25,best,100,8,2,best,100,8,6495,42514,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,3,d6,B,200,20,A,100,17,D,30,18,1,A,100,17,5597,48415,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,4,d4,A,100,17,D,130,22.5,B,200,20,0,A,100,17,4381,53098,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,5,baseline,A,100,17,B,200,20,,,,0,A,100,17,3164,56564,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,6,baseline,A,100,17,B,200,20,,,,0,A,100,17,1497,58366,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,7,d6,D,30,18,B,200,20,A,100,17,2,A,100,17,6012,64681,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,8,d4,B,200,20,D,130,22.5,A,100,17,2,A,100,17,4179,69164,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,9,d2,B,200,20,A,100,17,D,130,14,1,A,100,17,4862,74331,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,10,d1,A,100,17,B,200,20,D,100,12,2,D,100,12,4684,79318,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,11,d1,B,200,20,D,100,12,A,100,17,1,D,100,12,3582,83202,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,12,baseline,A,100,17,B,200,20,,,,0,A,100,17,1795,85300,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,13,d3,A,100,17,D,160,24.5,B,200,20,2,B,200,20,9331,94933,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,14,d2,B,200,20,A,100,17,D,130,14,0,B,200,20,9863,105097,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,15,d5,B,200,20,A,100,17,D,210,26.5,0,B,200,20,94310,199714,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,16,filler,F3,300,16,F1,210,17,F2,150,15,0,F3,300,16,9634,209652,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,17,d3,D,160,24.5,A,100,17,B,200,20,2,B,200,20,13112,223066,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,18,filler,F2,175,12,F3,70,12.9,F1,70,9,0,F2,175,12,4112,227480,
LR,376631671,task-v2.3-FROZEN (2026-08-25),choice,19,catch,best,150,9,junk2,25,19,junk1,40,24,0,best,150,9,2779,230564,
