pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
LW,4059403762,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,75370,20
LW,4059403762,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,75370,30
LW,4059403762,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,75370,40
LW,4059403762,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,75370,45
LW,4059403762,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,75370,45
LW,4059403762,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,75370,45
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,0,d3,D,160,24.5,A,100,17,B,200,20,1,A,100,17,33536,108910,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,1,filler,F1,100,13,F2,40,7,F3,120,12,1,F2,40,7,6632,115844,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,2,d3,B,200,20,D,160,24.5,A,100,17,2,A,100,17,13955,130101,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,3,d1,A,100,17,B,200,20,D,100,12,2,D,100,12,4459,134863,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,4,d2,A,100,17,B,200,20,D,130,14,2,D,130,14,8063,143227,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,5,baseline,A,100,17,B,200,20,,,,0,A,100,17,5718,149248,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,6,catch,junk2,25,19,junk1,40,24,best,150,9,2,best,150,9,10971,160521,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,7,d4,D,130,22.5,A,100,17,B,200,20,1,A,100,17,5819,166642,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,8,baseline,B,200,20,A,100,17,,,,1,A,100,17,2750,169694,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,9,d6,D,30,18,A,100,17,B,200,20,1,A,100,17,5294,175291,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,10,baseline,A,100,17,B,200,20,,,,0,A,100,17,8196,183789,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,11,filler,F2,150,12,F3,100,12,F1,80,8.95,2,F1,80,8.95,10973,195064,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,12,d5,A,100,17,B,200,20,D,210,26.5,0,A,100,17,5152,200519,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,13,d4,D,130,22.5,B,200,20,A,100,17,2,A,100,17,7278,208099,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,14,d6,A,100,17,D,30,18,B,200,20,0,A,100,17,7386,215788,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,15,d6,D,30,18,B,200,20,A,100,17,2,A,100,17,15397,231488,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,16,d5,B,200,20,D,210,26.5,A,100,17,2,A,100,17,20235,252025,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,17,filler,F1,300,16,F2,250,15,F3,80,10,2,F3,80,10,4245,256573,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,18,d2,B,200,20,A,100,17,D,130,14,2,D,130,14,4936,261811,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,19,d1,D,100,12,A,100,17,B,200,20,0,D,100,12,6234,268347,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,20,d2,A,100,17,B,200,20,D,130,14,2,D,130,14,4136,272785,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,21,d1,B,200,20,D,100,12,A,100,17,1,D,100,12,5852,278940,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,22,d4,D,130,22.5,A,100,17,B,200,20,1,A,100,17,4418,283661,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,23,d3,B,200,20,A,100,17,D,160,24.5,1,A,100,17,3967,287930,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,24,d4,A,100,17,D,130,22.5,B,200,20,0,A,100,17,8515,296747,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,25,d4,A,100,17,B,200,20,D,130,22.5,0,A,100,17,4784,301833,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,26,d3,B,200,20,A,100,17,D,160,24.5,1,A,100,17,4868,307004,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,27,d5,B,200,20,A,100,17,D,210,26.5,1,A,100,17,4784,312090,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,28,baseline,B,200,20,A,100,17,,,,1,A,100,17,1984,314377,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,29,d3,B,200,20,A,100,17,D,160,24.5,1,A,100,17,8853,323532,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,30,catch,junk1,20,22,best,100,8,junk2,30,25,1,best,100,8,3769,327604,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,31,d2,D,130,14,A,100,17,B,200,20,0,D,130,14,8137,336043,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,32,filler,F2,150,12,F1,50,8,F3,110,10,1,F1,50,8,7869,344215,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,33,baseline,B,200,20,A,100,17,,,,1,A,100,17,2569,347086,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,34,d6,A,100,17,B,200,20,D,30,18,0,A,100,17,14108,361496,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,35,baseline,A,100,17,B,200,20,,,,0,A,100,17,5530,367328,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,36,d5,B,200,20,A,100,17,D,210,26.5,1,A,100,17,2665,370295,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,37,d1,A,100,17,D,100,12,B,200,20,1,D,100,12,2599,373196,
LW,4059403762,task-v2.3-FROZEN (2026-08-25),choice,38,d1,B,200,20,A,100,17,D,100,12,2,D,100,12,2881,376380,
