pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
MA,2437869365,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,127783,10
MA,2437869365,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,127783,18
MA,2437869365,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,127783,25
MA,2437869365,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,127783,32
MA,2437869365,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,127783,38
MA,2437869365,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,127783,45
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,0,d5,A,100,17,B,200,20,D,210,26.5,1,B,200,20,32428,160213,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,1,baseline,A,100,17,B,200,20,,,,1,B,200,20,4196,164712,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,2,filler,F2,90,10,F3,40,7,F1,175,12,2,F1,175,12,6871,171886,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,3,d5,A,100,17,B,200,20,D,210,26.5,1,B,200,20,6445,178634,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,4,baseline,A,100,17,B,200,20,,,,1,B,200,20,10501,189437,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,5,d5,A,100,17,B,200,20,D,210,26.5,1,B,200,20,4271,194012,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,6,d4,A,100,17,B,200,20,D,130,22.5,1,B,200,20,4425495,4619809,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,7,d2,A,100,17,D,130,14,B,200,20,1,D,130,14,13182,4633295,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,8,d1,A,100,17,B,200,20,D,100,12,2,D,100,12,10788,4644385,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,9,baseline,A,100,17,B,200,20,,,,1,B,200,20,2825,4647512,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,10,d6,D,30,18,B,200,20,A,100,17,1,B,200,20,6963,4654777,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,11,d1,B,200,20,D,100,12,A,100,17,0,B,200,20,8331,4663411,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,12,d4,D,130,22.5,A,100,17,B,200,20,2,B,200,20,8126,4671839,
MA,2437869365,task-v2.3-FROZEN (2026-08-25),choice,13,d1,A,100,17,B,200,20,D,100,12,1,B,200,20,16045,4688186,
