pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
MB,3808381576,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,36564,10
MB,3808381576,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,36564,20
MB,3808381576,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,36564,25
MB,3808381576,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,36564,30
MB,3808381576,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,36564,35
MB,3808381576,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,36564,35
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,0,d1,A,100,17,B,200,20,D,100,12,2,D,100,12,5290,41855,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,1,filler,F3,300,16,F1,50,7.95,F2,210,17,1,F1,50,7.95,4612,46776,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,2,baseline,A,100,17,B,200,20,,,,0,A,100,17,3533,50619,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,3,d4,B,200,20,A,100,17,D,130,22.5,1,A,100,17,6127,57059,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,4,baseline,A,100,17,B,200,20,,,,0,A,100,17,1959,59330,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,5,d3,D,160,24.5,B,200,20,A,100,17,2,A,100,17,8225,67868,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,6,d6,D,30,18,A,100,17,B,200,20,1,A,100,17,4078,72255,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,7,d6,A,100,17,D,30,18,B,200,20,0,A,100,17,11729,84291,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,8,d2,A,100,17,D,130,14,B,200,20,1,D,130,14,6502,91104,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,9,d4,A,100,17,D,130,22.5,B,200,20,0,A,100,17,6898,98313,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,10,d5,A,100,17,B,200,20,D,210,26.5,0,A,100,17,7304,105930,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,11,d1,B,200,20,D,100,12,A,100,17,1,D,100,12,4416,110657,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,12,d4,B,200,20,A,100,17,D,130,22.5,1,A,100,17,3969,114933,
MB,3808381576,task-v2.3-FROZEN (2026-08-25),choice,13,d1,A,100,17,B,200,20,D,100,12,2,D,100,12,4250,119492,
