pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
MD,1221388869,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,63197,10
MD,1221388869,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,63197,18
MD,1221388869,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,63197,21
MD,1221388869,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,63197,22
MD,1221388869,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,63197,22.5
MD,1221388869,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,63197,23
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,0,d4,A,100,17,D,130,22.5,B,200,20,0,A,100,17,8657,71860,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,1,d5,A,100,17,B,200,20,D,210,26.5,0,A,100,17,4252,76416,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,2,d5,A,100,17,D,210,26.5,B,200,20,0,A,100,17,2674,79391,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,3,d2,A,100,17,D,130,14,B,200,20,0,A,100,17,2044,81737,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,4,d5,B,200,20,A,100,17,D,210,26.5,1,A,100,17,1438,83476,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,5,d6,B,200,20,D,30,18,A,100,17,0,B,200,20,8632,92409,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,6,filler,F3,40,9.9,F2,100,12,F1,100,14.9,0,F3,40,9.9,8380,101090,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,7,d1,A,100,17,D,100,12,B,200,20,0,A,100,17,6112,107503,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,8,baseline,B,200,20,A,100,17,,,,0,B,200,20,5523,113327,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,9,d6,A,100,17,B,200,20,D,30,18,0,A,100,17,8742,122370,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,10,filler,F1,175,12,F2,80,11,F3,200,17,1,F2,80,11,2621,125294,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,11,baseline,A,100,17,B,200,20,,,,0,A,100,17,4860,130455,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,12,d4,D,130,22.5,B,200,20,A,100,17,2,A,100,17,6343,137099,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,13,d4,A,100,17,D,130,22.5,B,200,20,0,A,100,17,3382,140781,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,14,d2,D,130,14,A,100,17,B,200,20,0,D,130,14,3807,144889,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,15,d6,A,100,17,D,30,18,B,200,20,0,A,100,17,2928,148118,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,16,baseline,A,100,17,B,200,20,,,,0,A,100,17,1726,150145,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,17,d2,D,130,14,B,200,20,A,100,17,2,A,100,17,3905,154352,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,18,d3,A,100,17,D,160,24.5,B,200,20,0,A,100,17,3502,158155,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,19,baseline,A,100,17,B,200,20,,,,0,A,100,17,1700,160156,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,20,d1,D,100,12,B,200,20,A,100,17,0,D,100,12,1503,161960,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,21,d1,B,200,20,A,100,17,D,100,12,2,D,100,12,2111,164372,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,22,baseline,B,200,20,A,100,17,,,,1,A,100,17,1623,166296,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,23,d6,A,100,17,D,30,18,B,200,20,0,A,100,17,2293,168891,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,24,d3,B,200,20,A,100,17,D,160,24.5,1,A,100,17,2127,171319,
MD,1221388869,task-v2.3-FROZEN (2026-08-25),choice,25,d2,B,200,20,A,100,17,D,130,14,1,A,100,17,2336,173957,
