pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
NE,1832800096,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,45426,15
NE,1832800096,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,45426,20
NE,1832800096,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,45426,30
NE,1832800096,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,45426,30
NE,1832800096,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,45426,30
NE,1832800096,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,45426,30
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,0,d2,B,200,20,D,130,14,A,100,17,0,B,200,20,20176,65605,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,1,d1,A,100,17,D,100,12,B,200,20,2,B,200,20,11776,77696,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,2,d3,B,200,20,D,160,24.5,A,100,17,0,B,200,20,6445,84454,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,3,d4,D,130,22.5,A,100,17,B,200,20,2,B,200,20,5515,90273,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,4,d4,B,200,20,A,100,17,D,130,22.5,0,B,200,20,4048,94628,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,5,d6,B,200,20,A,100,17,D,30,18,0,B,200,20,4720,99661,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,6,catch,best,150,9,junk1,40,24,junk2,25,19,0,best,150,9,8346,108319,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,7,d4,A,100,17,B,200,20,D,130,22.5,1,B,200,20,3879,112502,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,8,d1,A,100,17,B,200,20,D,100,12,1,B,200,20,2684,115491,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,9,baseline,A,100,17,B,200,20,,,,1,B,200,20,4089,119882,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,10,d6,D,30,18,B,200,20,A,100,17,1,B,200,20,2969,123162,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,11,d5,A,100,17,B,200,20,D,210,26.5,1,B,200,20,2300,125774,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,12,d6,B,200,20,D,30,18,A,100,17,0,B,200,20,3243,129332,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,13,d6,B,200,20,D,30,18,A,100,17,0,B,200,20,5997,135645,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,14,filler,F3,250,15,F2,100,13,F1,100,9.95,0,F3,250,15,9740,145695,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,15,filler,F1,30,9,F2,100,9.95,F3,300,16,1,F2,100,9.95,4254,150264,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,16,d4,B,200,20,A,100,17,D,130,22.5,0,B,200,20,4164,154737,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,17,d2,A,100,17,D,130,14,B,200,20,2,B,200,20,8349,163395,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,18,baseline,A,100,17,B,200,20,,,,1,B,200,20,3758,167460,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,19,d1,A,100,17,B,200,20,D,100,12,1,B,200,20,3754,171527,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,20,d6,D,30,18,A,100,17,B,200,20,2,B,200,20,4575,176414,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,21,baseline,A,100,17,B,200,20,,,,1,B,200,20,1601,178330,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,22,baseline,A,100,17,B,200,20,,,,1,B,200,20,2458,181104,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,23,d3,B,200,20,D,160,24.5,A,100,17,0,B,200,20,3316,184722,
NE,1832800096,task-v2.3-FROZEN (2026-08-25),choice,24,baseline,A,100,17,B,200,20,,,,1,B,200,20,2184,187220,
