pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
RR,4010397080,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,139899,10
RR,4010397080,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,139899,15
RR,4010397080,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,139899,20
RR,4010397080,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,139899,20
RR,4010397080,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,139899,20
RR,4010397080,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,139899,20
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,0,d5,A,100,17,B,200,20,D,210,26.5,0,A,100,17,8788,148688,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,1,d1,B,200,20,D,100,12,A,100,17,1,D,100,12,5106,154096,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,2,filler,F1,110,10,F2,150,12,F3,60,8,2,F3,60,8,3443,157840,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,3,d6,B,200,20,D,30,18,A,100,17,1,D,30,18,12240,170383,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,4,d6,D,30,18,B,200,20,A,100,17,2,A,100,17,10716,181400,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,5,d2,D,130,14,A,100,17,B,200,20,0,D,130,14,9553,191254,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,6,d1,A,100,17,D,100,12,B,200,20,1,D,100,12,4802,196357,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,7,baseline,A,100,17,B,200,20,,,,1,B,200,20,9341,205999,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,8,catch,junk2,25,19,best,150,9,junk1,40,24,1,best,150,9,7394,213696,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,9,d2,B,200,20,D,130,14,A,100,17,1,D,130,14,8444,222441,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,10,d5,D,210,26.5,B,200,20,A,100,17,1,B,200,20,5094,227836,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,11,d5,B,200,20,D,210,26.5,A,100,17,0,B,200,20,4798,232936,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,12,filler,F1,40,7,F2,250,15,F3,175,12,2,F3,175,12,6254,239491,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,13,d1,D,100,12,A,100,17,B,200,20,0,D,100,12,6945,246737,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,14,d2,B,200,20,D,130,14,A,100,17,1,D,130,14,96339,343377,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,15,d5,B,200,20,A,100,17,D,210,26.5,0,B,200,20,6243,349923,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,16,d4,B,200,20,D,130,22.5,A,100,17,0,B,200,20,3069,353294,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,17,d1,D,100,12,B,200,20,A,100,17,0,D,100,12,6244,359839,
RR,4010397080,task-v2.3-FROZEN (2026-08-25),choice,18,filler,F3,150,15,F1,210,17,F2,150,12,2,F2,150,12,9779,369919,
