pid,seed,version,phase,trial_idx,block,opt1_role,opt1_gb,opt1_price,opt2_role,opt2_gb,opt2_price,opt3_role,opt3_gb,opt3_price,choice_slot,choice_role,choice_gb,choice_price,rt_ms,t_ms,response
al,3287938174,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,25,,,,,,,,,,,,,64932,15
al,3287938174,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,50,,,,,,,,,,,,,64932,30
al,3287938174,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,100,,,,,,,,,,,,,64932,45
al,3287938174,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,150,,,,,,,,,,,,,64932,60
al,3287938174,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,200,,,,,,,,,,,,,64932,75
al,3287938174,task-v2.3-FROZEN (2026-08-25),wtp,-1,wtp,,300,,,,,,,,,,,,,64932,90
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,0,d3,D,160,24.5,B,200,20,A,100,17,1,B,200,20,4066,68999,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,1,baseline,A,100,17,B,200,20,,,,1,B,200,20,4531,73832,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,2,baseline,B,200,20,A,100,17,,,,1,A,100,17,3614,77748,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,3,filler,F3,150,15,F1,40,7,F2,60,8,0,F3,150,15,4865,82915,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,4,d3,D,160,24.5,B,200,20,A,100,17,1,B,200,20,1950,85165,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,5,baseline,B,200,20,A,100,17,,,,0,B,200,20,982,86449,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,6,baseline,A,100,17,B,200,20,,,,1,B,200,20,1731,88482,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,7,baseline,B,200,20,A,100,17,,,,0,B,200,20,598,89382,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,8,baseline,A,100,17,B,200,20,,,,1,B,200,20,648,90331,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,9,d2,D,130,14,B,200,20,A,100,17,1,B,200,20,1548,92182,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,10,d6,D,30,18,B,200,20,A,100,17,1,B,200,20,664,93149,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,11,d5,A,100,17,B,200,20,D,210,26.5,1,B,200,20,598,94049,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,12,filler,F1,100,11.95,F2,30,7,F3,60,8,0,F1,100,11.95,19215,113565,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,13,baseline,A,100,17,B,200,20,,,,0,A,100,17,565,114432,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,14,d2,B,200,20,A,100,17,D,130,14,0,B,200,20,1064,115798,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,15,d3,A,100,17,D,160,24.5,B,200,20,2,B,200,20,1915,118015,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,16,d1,D,100,12,B,200,20,A,100,17,1,B,200,20,1348,119665,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,17,d5,A,100,17,D,210,26.5,B,200,20,1,D,210,26.5,12265,132232,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,18,d5,D,210,26.5,B,200,20,A,100,17,0,D,210,26.5,997,133532,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,19,d4,D,130,22.5,B,200,20,A,100,17,1,B,200,20,1598,135432,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,20,d3,A,100,17,B,200,20,D,160,24.5,1,B,200,20,1247,136982,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,21,d5,B,200,20,A,100,17,D,210,26.5,2,D,210,26.5,1697,138982,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,22,d4,B,200,20,A,100,17,D,130,22.5,0,B,200,20,965,140248,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,23,filler,F3,80,8.95,F1,100,12,F2,50,8,1,F1,100,12,1098,141648,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,24,d6,D,30,18,B,200,20,A,100,17,1,B,200,20,699,142648,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,25,catch,junk2,30,25,best,100,8,junk1,20,22,1,best,100,8,1032,143982,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,26,d1,D,100,12,A,100,17,B,200,20,0,D,100,12,4082,148365,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,27,catch,junk1,40,24,junk2,25,19,best,150,9,2,best,150,9,1431,150098,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,28,d1,D,100,12,A,100,17,B,200,20,2,B,200,20,3065,153465,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,29,d2,A,100,17,D,130,14,B,200,20,2,B,200,20,1965,155732,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,30,d4,B,200,20,D,130,22.5,A,100,17,0,B,200,20,1331,157365,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,31,d6,D,30,18,B,200,20,A,100,17,1,B,200,20,715,158382,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,32,d1,A,100,17,D,100,12,B,200,20,2,B,200,20,1131,159815,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,33,d6,A,100,17,B,200,20,D,30,18,1,B,200,20,1198,161315,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,34,d4,A,100,17,B,200,20,D,130,22.5,1,B,200,20,614,162232,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,35,d3,D,160,24.5,B,200,20,A,100,17,1,B,200,20,749,163282,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,36,d4,D,130,22.5,B,200,20,A,100,17,1,B,200,20,647,164231,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,37,filler,F1,80,11,F2,120,12,F3,100,9.95,2,F3,100,9.95,3465,167998,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,38,d6,A,100,17,B,200,20,D,30,18,1,B,200,20,832,169132,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,39,baseline,B,200,20,A,100,17,,,,0,B,200,20,1081,170515,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,40,d5,A,100,17,B,200,20,D,210,26.5,1,B,200,20,665,171482,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,41,d2,D,130,14,B,200,20,A,100,17,1,B,200,20,531,172315,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,42,d2,A,100,17,D,130,14,B,200,20,2,B,200,20,948,173565,
al,3287938174,task-v2.3-FROZEN (2026-08-25),choice,43,d1,A,100,17,D,100,12,B,200,20,2,B,200,20,1198,175065,
al,3287938174,task-v2.3-FROZEN (2026-08-25),probe,-2,probe,,,,,,,,,,,,,,,182282,they were all fuckign retarded
