provider,data_gb,unlimited,price_gbp_month,contract_months,offer_notes,source,collected,verification_url,verified,,data_gb,price_actual,expected_price,,,,,provider,data_gb,price_gbp,delta_vs_curve
ASDA Mobile,25,0,14,12,,https://www.asdamobile.com/pay-monthly-sim-only/12-month,2026-08-17,https://www.asdamobile.com/pay-monthly-sim-only/12-month,y,,1,1,5.848862972,,log-fit expected utility model,,,iD Mobile,50,7,-6.353845674
ASDA Mobile,10,0,8,12,,https://www.asdamobile.com/pay-monthly-sim-only/12-month,2026-08-17,https://www.asdamobile.com/pay-monthly-sim-only/12-month,y,,1,16,5.848862972,,a (intercept),5.848862972,,iD Mobile (mobiles.co.uk),50,7,-6.353845674
ASDA Mobile,100,0,18,12,,https://www.asdamobile.com/pay-monthly-sim-only/12-month,2026-08-17,https://www.asdamobile.com/pay-monthly-sim-only/12-month,y,,2,5,7.178624478,,b (slope),1.918440329,,iD Mobile (mobiles.co.uk),25,6,-6.024084169
ASDA Mobile,,1,22,12,,https://www.asdamobile.com/pay-monthly-sim-only/12-month,2026-08-17,https://www.asdamobile.com/pay-monthly-sim-only/12-month,y,,2,6,7.178624478,,R2,0.312913882,,iD Mobile,40,7,-5.925758086
,,,,,,,,,,,3,5,7.956485093,,capped plans,162,,iD Mobile,40,7,-5.925758086
,,,,,,,,,,,3,4,7.956485093,,unlimited plans,25,,Talkmobile,60,7.95,-5.753618701
giffgaff,50,0,12,18,,,,,y,,3,5,7.956485093,,,,,iD Mobile,60,8,-5.703618701
giffgaff,100,0,15,18,,,,,y,,3,5,7.956485093,,,,,iD Mobile (mobiles.co.uk),60,8,-5.703618701
giffgaff,200,0,20,18,,,,,y,,3,24,7.956485093,,,,,iD Mobile,20,6,-5.595996581
ASDA Mobile,3,0,5,12,Vodafone network,msm-cheap,2026-08-16,https://www.asdamobile.com/pay-monthly-sim-only,y,,3,21,7.956485093,,,,,iD Mobile,20,6,-5.595996581
giffgaff,6,0,8,18,no annual price rise,msm-cheap,2026-08-16,https://www.giffgaff.com/sim-only-deals,y,,3,18,7.956485093,,,,,iD Mobile,20,6,-5.595996581
giffgaff,25,0,10,18,no annual price rise,msm-cheap,2026-08-16,https://www.giffgaff.com/sim-only-deals,y,,3,5,7.956485093,,,,,Talkmobile,30,6.95,-5.423857196
giffgaff,,1,14,18,"limited-time price, was £25; fair usage policy",msm-cheap;msm-unl,2026-08-16,https://www.giffgaff.com/sim-only-deals,y,,3,5,7.956485093,,,,,Lebara,50,7.95,-5.403845674
iD Mobile,20,0,6,12,no annual price rise,msm-cheap,2026-08-16,https://www.idmobile.co.uk/sim-only-deals,y,,4,12.5,8.508385983,,,,,iD Mobile,30,7,-5.373857196
iD Mobile,20,0,6,1,no annual price rise,msm-cheap;cmm;msm-main,2026-08-16,https://www.idmobile.co.uk/sim-only-deals,y,,4,11.5,8.508385983,,,,,iD Mobile,50,8,-5.353845674
iD Mobile,40,0,8,1,no annual price rise; ~30GB roaming,msm-cheap;msm-main,2026-08-16,https://www.idmobile.co.uk/sim-only-deals,y,,4,11.25,8.508385983,,,,,Vodafone (mobiles.co.uk),50,8,-5.353845674
iD Mobile (mobiles.co.uk),,1,15,12,no cashback listed; giffgaff not sold by mobiles.co.uk,msm-unl,2026-08-16,https://www.mobiles.co.uk/sim-only,y,,4,13,8.508385983,,,,,iD Mobile (mobiles.co.uk),50,8,-5.353845674
Lebara,5,0,4.95,1,intro £1.48 months 1-3; Vodafone network,msm-cheap;cmm,2026-08-16,https://mobile.lebara.com/gb/en/sim-only,,,5,4.95,8.936473571,,,,,Talkmobile,80,8.95,-5.305519591
